,Restriction,Testing,Asymptomatic,Infectivity,Use,Description
1,0.35,Lazy,,,FALSE,Actions taken on 2020-03-31
2,0,Lazy,,,FALSE,
3,0.2,Lazy,,,FALSE,
4,0.4,Lazy,,,FALSE,
5,0.5,Lazy,,,FALSE,
6,0.55,Lazy,,,FALSE,
7,0.6,Lazy,,,FALSE,
8,0.65,Lazy,,,FALSE,
9,0.7,Lazy,,,FALSE,
10,0.75,Lazy,,,FALSE,
11,0.8,Lazy,,,FALSE,
12,0.9,Lazy,,,FALSE,
13,1,Lazy,,,FALSE,
14,0,Active,,,FALSE,
15,0.2,Active,,,FALSE,
16,0.4,Active,,,FALSE,
17,0.5,Active,,,FALSE,
18,0.55,Active,,,FALSE,
19,0.6,Active,,,FALSE,
20,0.65,Active,,,FALSE,
21,0.7,Active,,,FALSE,
22,0.75,Active,,,FALSE,
23,0.8,Active,,,FALSE,
24,0.9,Active,,,FALSE,
25,1,Active,,,FALSE,
26,0,Lazy,,,FALSE,
27,0.1,Lazy,,,FALSE,
28,0.3,Lazy,,,FALSE,
29,0.1,Active,,,FALSE,
30,0.3,Active,,,FALSE,
31,0,Aggressive,,,FALSE,
32,0.1,Aggressive,,,FALSE,
33,0.2,Aggressive,,,FALSE,
34,0.3,Aggressive,,,FALSE,
35,0.4,Aggressive,,,FALSE,
36,0.5,Aggressive,,,FALSE,
37,0.6,Aggressive,,,FALSE,
38,0.7,Aggressive,,,FALSE,
39,0.8,Aggressive,,,FALSE,
40,0.9,Aggressive,,,FALSE,
41,1,Aggressive,,,FALSE,
42,0,Aggressive,,,FALSE,
43,0.1,Aggressive,,,FALSE,
44,0.2,Aggressive,,,FALSE,
45,0.3,Aggressive,,,FALSE,
46,0.4,Aggressive,,,FALSE,
47,0.5,Aggressive,,,FALSE,
48,0.6,Aggressive,,,FALSE,
49,0.7,Aggressive,,,FALSE,
50,0.8,Aggressive,,,FALSE,
51,0.9,Aggressive,,,FALSE,
52,1,Aggressive,,,FALSE,
53,0,Lazy,,,TRUE,
54,0.1,Lazy,,,TRUE,
55,0.2,Lazy,,,TRUE,
56,0.3,Lazy,,,TRUE,
57,0.4,Lazy,,,TRUE,
58,0.5,Lazy,,,TRUE,
59,0.6,Lazy,,,TRUE,
60,0.7,Lazy,,,TRUE,
61,0.8,Lazy,,,TRUE,
62,0.9,Lazy,,,TRUE,
63,1,Lazy,,,TRUE,
64,0,Active,,,TRUE,
65,0.1,Active,,,TRUE,
66,0.2,Active,,,TRUE,
67,0.3,Active,,,TRUE,
68,0.4,Active,,,TRUE,
69,0.5,Active,,,TRUE,
70,0.6,Active,,,TRUE,
71,0.7,Active,,,TRUE,
72,0.8,Active,,,TRUE,
73,0.9,Active,,,TRUE,
74,1,Active,,,TRUE,
75,0,Aggressive,,,FALSE,
76,0.1,Aggressive,,,FALSE,
77,0.2,Aggressive,,,FALSE,
78,0.3,Aggressive,,,FALSE,
79,0.4,Aggressive,,,FALSE,
80,0.5,Aggressive,,,FALSE,
81,0.6,Aggressive,,,FALSE,
82,0.7,Aggressive,,,FALSE,
83,0.8,Aggressive,,,FALSE,Tuliko virhe? 70 % rajoitus jäi päälle
84,0.9,Aggressive,,,FALSE,
85,1,Aggressive,,,FALSE,
86,0,Aggressive,,,TRUE,
87,0.1,Aggressive,,,TRUE,
88,0.2,Aggressive,,,TRUE,
89,0.3,Aggressive,,,TRUE,
90,0.4,Aggressive,,,TRUE,
91,0.5,Aggressive,,,TRUE,
92,0.6,Aggressive,,,TRUE,
93,0.7,Aggressive,,,TRUE,
94,0.8,Aggressive,,,TRUE,
95,0.9,Aggressive,,,TRUE,
96,1,Aggressive,,,TRUE,
97,0.35,Lazy,,,TRUE,
98,0.35,Aggressive,,,TRUE,
99,0.35,Lazy,0.1,,TRUE,
100,0.35,Lazy,0.3,,TRUE,
101,0.35,Lazy,0.5,,TRUE,
102,0.35,Lazy,0.7,,TRUE,
103,0.35,Lazy,0.9,,TRUE,
104,0.35,Lazy,0.95,,TRUE,
105,0.35,Lazy,0.98,,TRUE,
106,0.35,Lazy,0.99,,TRUE,
107,0.35,Lazy,0.995,,TRUE,
108,0.35,Aggressive,0.1,,TRUE,
109,0.35,Aggressive,0.3,,TRUE,
110,0.35,Aggressive,0.5,,TRUE,
111,0.35,Aggressive,0.7,,TRUE,
112,0.35,Aggressive,0.9,,TRUE,
113,0.35,Aggressive,0.95,,TRUE,
114,0.35,Aggressive,0.98,,TRUE,
115,0.35,Aggressive,0.99,,TRUE,
116,0.35,Aggressive,0.995,,TRUE,
117,0.35,Lazy,,0.01,TRUE,
118,0.35,Lazy,,0.1,TRUE,
119,0.35,Lazy,,0.2,TRUE,
120,0.35,Lazy,,0.25,TRUE,
121,0.35,Lazy,,0.3,TRUE,
122,0.35,Lazy,,0.4,TRUE,
123,0.35,Lazy,,0.6,TRUE,
124,0.35,Lazy,,0.8,TRUE,
125,0.35,Lazy,,1,TRUE,
126,0.35,Aggressive,,0.01,TRUE,
127,0.35,Aggressive,,0.1,TRUE,
128,0.35,Aggressive,,0.2,TRUE,
129,0.35,Aggressive,,0.25,TRUE,
130,0.35,Aggressive,,0.3,TRUE,
131,0.35,Aggressive,,0.4,TRUE,
132,0.35,Aggressive,,0.6,TRUE,
133,0.35,Aggressive,,0.8,TRUE,
134,0.35,Aggressive,,1,TRUE,
