"","Restriction","exposed","active","recovered","hospitalized","dead","at_peak","peak_date","initial_seed"
"1",0,0,0,1354705,3047,27455,"92,870+113,378","day 50",7500
"2",0.2,20,14,1154115,4387,23284,"57,631+87,846","day 62",7500
"3",0.4,1403,879,722118,9071,14254,"21,357+40,580","day 82",7500
"4",0.5,2586,1530,357652,6591,6982,"8,074+16,557","day 74",7500
"5",0.55,1076,634,210043,2783,4151,"5,296+10,649","day 50",7500
"6",0.6,200,120,130531,809,2542,"4,331 +7,853","day 34",7500
"7",0.65,21,13,85747,231,1737,"4,210+6,004","day 64",7500
"8",0.7,2,1,64648,90,1314,"4,423+4,620","day 18",7500
"9",0.75,0,0,52441,50,1067,"5,470+2,942","day 12",7500
"10",0.8,0,0,44621,34,908,"5,837+2,30","day 10",7500
"11",0.85,0,0,39218,27,799,"6,274+1,674","day 8",7500
"12",0.9,0,0,35272,22,718,"6,189+1,673","day 8",7500
"13",0.95,0,0,32269,19,657,"6,104+1,672","day 8",7500
"14",1,0,0,29908,17,609,"6,020+1,671","day 8",7500
"15",0,1,1,1351211,5195,27252,"97,029+107,636","day 64",1200
"16",0.2,120,85,1142499,9670,22741,"57,868+84,100","day 84",1200
"17",0.4,9932,6058,601324,26259,11055,"17,945+35,223","day 136",1200
"18",0.5,6167,3456,139778,7264,2549,NA,"day 186",1200
"19",0.55,1027,582,52543,1510,1006,"998+2,052","day 68",1200
"20",0.6,102,60,24659,262,490,"740+1,337","day 36",1200
"21",0.65,8,5,15041,53,304,"667+1,029","day 26",1200
"22",0.7,0,0,10880,17,221,"667+817","day 20",1200
"23",0.75,0,0,8665,9,176,"892+474","day 12",1200
"24",0.8,0,0,7304,6,149,"949+371","day 10",1200
"25",0.85,0,0,6384,4,130,"1,017+269","day 8",1200
"26",0.9,0,0,5722,4,117,"1,003+269","day 8",1200
"27",0.95,0,0,5223,3,106,"989+269","day 8",1200
"28",1,0,0,4833,3,98,"975+269","day 8",1200
